mu 
    0.0000   -0.1825   -0.3681   -0.5343   -0.6650   -0.7517   -0.7916
   -0.7847   -0.7333   -0.6412   -0.5140   -0.3589   -0.1844    0.0000
    0.0000    0.1767    0.3272    0.4293    0.4672    0.4345    0.3349
    0.1825    0.0000   -0.1845   -0.3435   -0.4609   -0.5349   -0.5692
   -0.5669   -0.5309   -0.4648   -0.3729   -0.2604   -0.1339    0.0000
    0.0000    0.2202    0.4117    0.5495    0.6162    0.6040    0.5163
    0.3681    0.1845    0.0000   -0.1449   -0.2304   -0.2764   -0.2969
   -0.2968   -0.2785   -0.2440   -0.1958   -0.1368   -0.0703    0.0000
    0.0000    0.2594    0.4878    0.6583    0.7515    0.7582    0.6810
    0.5343    0.3435    0.1449    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.2905    0.5485    0.7453    0.8602    0.8824    0.8131
    0.6650    0.4609    0.2304    0.0000    0.0000    0.3105    0.5877
    0.8022    0.9320    0.9654    0.9018    0.7517    0.5349    0.2764
    0.0000    0.0000    0.3171    0.6011    0.8228    0.9600    1.0000
    0.9410    0.7916    0.5692    0.2969    0.0000    0.0000    0.3089
    0.5862    0.8039    0.9403    0.9828    0.9286    0.7847    0.5669
    0.2968    0.0000    0.0000    0.2858    0.5427    0.7450    0.8729
    0.9141    0.8657    0.7333    0.5309    0.2785    0.0000    0.0000
    0.2484    0.4719    0.6483    0.7603    0.7972    0.7559    0.6412
    0.4648    0.2440    0.0000    0.0000    0.1984    0.3770    0.5182
    0.6081    0.6380    0.6055    0.5140    0.3729    0.1958    0.0000
    0.0000    0.1382    0.2628    0.3613    0.4241    0.4451    0.4226
    0.3589    0.2604    0.1368    0.0000    0.0000    0.0710    0.1349
    0.1855    0.2178    0.2286    0.2171    0.1844    0.1339    0.0703
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000
L3 
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000   -0.0955   -0.1816   -0.2500   -0.2939   -0.3090   -0.2939
   -0.2500   -0.1816   -0.0955    0.0000    0.0955    0.1816    0.2500
    0.2939    0.3090    0.2939    0.2500    0.1816    0.0955    0.0000
    0.0000   -0.1816   -0.3455   -0.4755   -0.5590   -0.5878   -0.5590
   -0.4755   -0.3455   -0.1816    0.0000    0.1816    0.3455    0.4755
    0.5590    0.5878    0.5590    0.4755    0.3455    0.1816    0.0000
    0.0000   -0.2500   -0.4755   -0.6545   -0.7694   -0.8090   -0.7694
   -0.6545   -0.4755   -0.2500    0.0000    0.2500    0.4755    0.6545
    0.7694    0.8090    0.7694    0.6545    0.4755    0.2500    0.0000
    0.0000   -0.2939   -0.5590   -0.7694   -0.9045   -0.9511   -0.9045
   -0.7694   -0.5590   -0.2939    0.0000    0.2939    0.5590    0.7694
    0.9045    0.9511    0.9045    0.7694    0.5590    0.2939    0.0000
    0.0000   -0.3090   -0.5878   -0.8090   -0.9511   -1.0000   -0.9511
   -0.8090   -0.5878   -0.3090    0.0000    0.3090    0.5878    0.8090
    0.9511    1.0000    0.9511    0.8090    0.5878    0.3090    0.0000
    0.0000   -0.2939   -0.5590   -0.7694   -0.9045   -0.9511   -0.9045
   -0.7694   -0.5590   -0.2939    0.0000    0.2939    0.5590    0.7694
    0.9045    0.9511    0.9045    0.7694    0.5590    0.2939    0.0000
    0.0000   -0.2500   -0.4755   -0.6545   -0.7694   -0.8090   -0.7694
   -0.6545   -0.4755   -0.2500    0.0000    0.2500    0.4755    0.6545
    0.7694    0.8090    0.7694    0.6545    0.4755    0.2500    0.0000
    0.0000   -0.1816   -0.3455   -0.4755   -0.5590   -0.5878   -0.5590
   -0.4755   -0.3455   -0.1816    0.0000    0.1816    0.3455    0.4755
    0.5590    0.5878    0.5590    0.4755    0.3455    0.1816    0.0000
    0.0000   -0.0955   -0.1816   -0.2500   -0.2939   -0.3090   -0.2939
   -0.2500   -0.1816   -0.0955    0.0000    0.0955    0.1816    0.2500
    0.2939    0.3090    0.2939    0.2500    0.1816    0.0955    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0955    0.1816    0.2500    0.2939    0.3090    0.2939
    0.2500    0.1816    0.0955    0.0000    0.0000    0.1816    0.3455
    0.4755    0.5590    0.5878    0.5590    0.4755    0.3455    0.1816
    0.0000    0.0000    0.2500    0.4755    0.6545    0.7694    0.8090
    0.7694    0.6545    0.4755    0.2500    0.0000    0.0000    0.2939
    0.5590    0.7694    0.9045    0.9511    0.9045    0.7694    0.5590
    0.2939    0.0000    0.0000    0.3090    0.5878    0.8090    0.9511
